id,discipline_id,semester_id
41744,33694,16
41745,33695,16
41754,33703,16
41755,33704,16
41760,33705,16
41761,33706,16
41762,33707,16
41763,33708,16
41764,33709,16
41769,33710,16
41770,33711,16
41771,33712,16
41772,33713,16
41773,33714,16
41778,33715,16
41779,33716,16
41780,33717,16
42163,34007,16
42164,34008,16
42165,34009,16
42166,34010,16
42167,34011,16
42168,34012,16
42169,34013,16
42170,34014,16
42171,34015,16
42172,34016,16
42173,34017,16
42175,34018,16
42176,34019,16
42177,34020,16
42178,34021,16
42179,34022,16
42180,34023,16
42181,34024,16
42183,34025,16
42184,34026,16
42185,34027,16
42254,34070,16
42255,34071,16
42256,34072,16
42257,34073,16
42258,34074,16
42259,34075,16
42260,34076,16
42261,34077,16
42262,34078,16
42272,34088,16
42273,34089,16
42274,34090,16
42275,34091,16
42276,34092,16
42277,34093,16
42278,34094,16
42279,34095,16
42280,34096,16
42281,34097,16
42282,34098,16
42283,34099,16
42284,34100,16
42286,34101,16
42287,34102,16
42288,34103,16
42289,34104,16
42290,34105,16
42291,34106,16
42292,34107,16
42293,34108,16
42295,34109,16
42296,34110,16
42297,34111,16
42298,34112,16
42299,34113,16
42300,34114,16
42301,34115,16
42302,34116,16
42304,34117,16
42305,34118,16
42306,34119,16
42307,34120,16
44302,35280,9
44303,35280,10
44304,35281,9
44305,35282,9
44306,35283,9
44309,35285,9
44310,35285,10
44311,35286,9
44312,35286,10
44313,35287,9
44314,35287,10
44315,35288,10
44316,35289,10
44317,35290,10
46690,37328,17
46691,37329,17
46692,37330,17
46693,37331,17
53056,37331,18
46694,37332,17
46695,37333,17
46697,37335,17
46698,37336,17
46699,37337,17
46700,37338,17
46701,37339,17
46702,37340,17
53064,37340,18
46703,37341,17
46704,37342,17
46706,37344,17
46707,37345,17
46708,37346,17
46709,37347,17
46710,37348,17
46711,37349,17
53072,37349,18
46712,37350,17
46713,37351,17
46715,37353,17
46716,37354,17
47198,37797,17
47199,37798,17
47200,37799,17
47201,37800,17
47202,37801,17
47203,37802,17
47204,37803,17
47205,37804,17
47206,37805,17
47207,37806,17
47208,37807,17
47209,37808,17
47210,37809,17
47211,37810,17
47212,37811,17
47213,37812,17
47214,37813,17
47215,37814,17
47336,37925,17
47337,37926,17
47338,37927,17
47339,37928,17
47340,37929,17
47341,37930,17
47342,37931,17
47343,37932,17
47344,37933,17
47345,37934,17
47346,37935,17
47347,37936,17
47348,37937,17
47349,37938,17
47350,37939,17
47351,37940,17
47352,37941,17
47353,37942,17
47354,37943,17
47355,37944,17
47356,37945,17
47357,37946,17
47358,37947,17
47359,37948,17
47360,37949,17
47361,37950,17
47362,37951,17
53054,41503,18
53055,41504,18
53057,41505,18
53058,41506,18
53059,41507,18
53060,41508,18
53061,41509,18
53062,41510,18
53063,41511,18
53065,41512,18
53066,41513,18
53067,41514,18
53068,41515,18
53069,41516,18
53070,41517,18
53071,41518,18
53073,41519,18
53074,41520,18
53075,41521,18
53076,41522,18
53077,41523,18
53557,41799,18
53558,41800,18
53559,41801,18
53560,41802,18
53561,41803,18
53562,41804,18
53563,41805,18
53564,41806,18
53565,41807,18
53566,41808,18
53567,41809,18
53568,41810,18
53569,41811,18
53570,41812,18
53697,41882,18
53698,41883,18
53699,41884,18
53700,41885,18
53701,41886,18
53702,41887,18
53703,41888,18
53704,41889,18
53705,41890,18
53706,41891,18
53707,41892,18
53708,41893,18
53709,41894,18
53710,41895,18
53711,41896,18
53712,41897,18
53713,41898,18
53714,41899,18
53715,41900,18
53716,41901,18
53717,41902,18
53718,41903,18
53719,41904,18
53720,41905,18
53721,41906,18
53722,41907,18
53723,41908,18
