id,discipline_semester_id,period_id
46518,17541,85
45719,17542,84
46519,17542,85
45720,17543,84
46520,17543,85
45721,17544,84
46521,17544,85
45722,17545,84
46522,17545,85
45723,17546,84
46523,17546,85
45724,17547,84
46524,17547,85
45725,17548,84
47989,17548,89
49736,17548,87
45726,17549,84
47990,17549,89
49737,17549,87
45727,17550,84
47991,17550,89
49738,17550,87
45728,17551,84
47992,17551,89
49739,17551,87
45729,17552,84
47993,17552,89
49740,17552,87
45730,17553,84
47994,17553,89
49741,17553,87
45731,17554,84
47995,17554,89
49742,17554,87
45732,17555,84
47996,17555,89
49743,17555,87
45733,17556,84
47997,17556,89
49744,17556,87
45734,17557,84
47998,17557,89
49745,17557,87
45735,17558,84
47999,17558,89
49746,17558,87
45736,17559,84
48000,17559,89
49747,17559,87
45737,17560,84
48001,17560,89
49748,17560,87
45738,17561,84
48002,17561,89
49749,17561,87
45747,17570,84
48011,17570,89
49758,17570,87
45748,17571,84
48012,17571,89
49759,17571,87
45749,17572,84
48013,17572,89
49760,17572,87
45750,17573,84
48014,17573,89
49761,17573,87
45751,17574,84
48015,17574,89
49762,17574,87
45752,17575,84
48016,17575,89
49763,17575,87
45753,17576,84
48017,17576,89
49764,17576,87
45754,17577,84
48018,17577,89
49765,17577,87
48622,18334,88
48623,18335,88
50642,18471,90
50643,18472,90
52118,19149,95
54878,19149,97
58083,19149,96
52119,19150,95
54879,19150,97
58084,19150,96
52120,19151,95
54880,19151,97
58085,19151,96
52121,19152,95
54881,19152,97
58086,19152,96
52122,19153,95
54882,19153,97
58087,19153,96
52123,19154,95
54883,19154,97
58088,19154,96
52124,19155,95
54884,19155,97
58089,19155,96
52125,19156,95
54885,19156,97
52510,19157,95
55177,19157,97
57679,19157,96
52511,19158,95
55178,19158,97
57680,19158,96
52512,19159,95
55179,19159,97
52513,19160,95
55180,19160,97
57681,19160,96
52514,19161,95
55181,19161,97
57682,19161,96
52515,19162,95
55182,19162,97
57683,19162,96
52516,19163,95
55183,19163,97
57684,19163,96
52517,19164,95
55184,19164,97
57685,19164,96
52126,19232,95
54886,19232,97
58090,19232,96
52127,19233,95
54887,19233,97
58091,19233,96
52128,19234,95
54888,19234,97
58092,19234,96
52129,19235,95
54889,19235,97
58093,19235,96
52130,19236,95
54890,19236,97
58094,19236,96
52131,19237,95
54891,19237,97
58095,19237,96
52132,19238,95
54892,19238,97
58096,19238,96
52133,19239,95
54893,19239,97
52134,19240,95
54786,19240,97
58097,19240,96
52135,19241,95
54787,19241,97
58098,19241,96
52136,19242,95
54788,19242,97
52137,19243,95
54789,19243,97
58099,19243,96
52138,19244,95
54790,19244,97
58100,19244,96
52139,19245,95
54791,19245,97
58101,19245,96
52140,19246,95
54792,19246,97
58102,19246,96
52141,19247,95
54793,19247,97
58103,19247,96
52142,19248,95
54794,19248,97
58104,19248,96
52143,19249,95
54795,19249,97
58105,19249,96
52518,19250,95
55185,19250,97
57686,19250,96
52519,19251,95
55186,19251,97
57687,19251,96
52520,19252,95
55187,19252,97
52521,19253,95
55188,19253,97
57688,19253,96
52522,19254,95
55189,19254,97
57689,19254,96
52523,19255,95
55190,19255,97
57690,19255,96
52524,19256,95
55191,19256,97
57691,19256,96
52525,19257,95
55192,19257,97
57692,19257,96
52152,19340,95
54796,19340,97
58113,19340,96
52153,19341,95
54797,19341,97
58114,19341,96
52154,19342,95
54798,19342,97
52155,19343,95
54799,19343,97
58115,19343,96
52156,19344,95
54800,19344,97
58116,19344,96
52157,19345,95
54801,19345,97
58117,19345,96
52158,19346,95
54802,19346,97
58118,19346,96
52159,19347,95
54803,19347,97
58119,19347,96
52160,19348,95
54804,19348,97
58120,19348,96
52161,19349,95
54805,19349,97
58121,19349,96
52526,19350,95
55258,19350,97
57693,19350,96
52527,19351,95
55259,19351,97
57694,19351,96
52528,19352,95
55260,19352,97
57695,19352,96
52529,19353,95
55261,19353,97
57696,19353,96
52530,19354,95
55262,19354,97
57697,19354,96
52531,19355,95
55263,19355,97
57698,19355,96
52532,19356,95
55264,19356,97
52533,19357,95
55193,19357,97
57699,19357,96
52534,19358,95
55194,19358,97
52535,19359,95
55195,19359,97
57700,19359,96
52536,19360,95
55196,19360,97
57701,19360,96
52537,19361,95
55197,19361,97
57702,19361,96
52538,19362,95
55198,19362,97
57703,19362,96
52539,19363,95
55199,19363,97
57704,19363,96
52162,19429,95
54806,19429,97
58122,19429,96
52163,19430,95
54807,19430,97
58123,19430,96
52164,19431,95
54808,19431,97
52165,19432,95
54809,19432,97
58124,19432,96
52166,19433,95
54810,19433,97
58125,19433,96
52167,19434,95
54811,19434,97
58126,19434,96
52168,19435,95
54812,19435,97
58127,19435,96
52169,19436,95
54813,19436,97
58128,19436,96
52170,19437,95
54814,19437,97
58129,19437,96
52171,19438,95
54815,19438,97
58130,19438,96
52547,19455,95
55200,19455,97
