lesson_id,training_id
29786,23419
23629,23420
23717,23420
29970,23420
29872,23420
23558,23421
23632,23421
29959,23421
29960,23421
23702,23422
23697,23422
23698,23422
23699,23422
23700,23422
23701,23422
29863,23422
29888,23422
29889,23422
29890,23422
29891,23422
29892,23422
23847,23423
23719,23423
29878,23423
23192,23424
23651,23425
23146,23426
28896,23426
29738,23426
29906,23426
23522,23427
23161,23428
28897,23428
29739,23428
29907,23428
23526,23429
29754,23429
23447,23430
29911,23430
29294,23430
29750,23430
23202,23431
23203,23431
29908,23431
29909,23431
28899,23431
28901,23431
29741,23431
29742,23431
29928,23432
29929,23432
23720,23433
23857,23433
29961,23433
29873,23433
23665,23434
23666,23434
23633,23434
23634,23434
29788,23434
29789,23434
29837,23434
29838,23434
23564,23435
23630,23435
23861,23435
29966,23435
29826,23435
23711,23436
23712,23436
29971,23436
29972,23436
23858,23437
23859,23437
29965,23437
29886,23437
23652,23438
23653,23438
23848,23438
23850,23438
23851,23438
23715,23438
23718,23438
23849,23438
29849,23438
29850,23438
29879,23438
29880,23438
29881,23438
29896,23438
29898,23438
29901,23438
23525,23439
23559,23439
29930,23439
29825,23439
23486,23440
23487,23440
29735,23440
29743,23440
23703,23441
23704,23441
23705,23441
23706,23441
23707,23441
23708,23441
29864,23441
29865,23441
29866,23441
29867,23441
29868,23441
29869,23441
36756,25369
36771,25369
41844,25369
41858,25369
36781,25370
41845,25370
36729,25371
36730,25371
41836,25371
41870,25371
36742,25372
36741,25372
41841,25372
41876,25372
36727,25373
36728,25373
36705,25373
41834,25373
41835,25373
41868,25373
36784,25374
36785,25374
36604,25375
36670,25375
36672,25375
41786,25375
41816,25375
41817,25375
36749,25376
36750,25376
41880,25376
41881,25376
36674,25377
36675,25377
41798,25377
41799,25377
42009,25378
42011,25378
42014,25378
42016,25378
36592,25379
41782,25379
36559,25380
36599,25380
41752,25380
41761,25380
36677,25381
36678,25381
36769,25381
36770,25381
41856,25381
41857,25381
36609,25382
36780,25382
41765,25382
41891,25382
36557,25383
36707,25383
36731,25383
41751,25383
41831,25383
41871,25383
36554,25384
36555,25384
41749,25384
41750,25384
36756,25385
36771,25385
41844,25385
41858,25385
36757,25386
41845,25386
36729,25387
36730,25387
41836,25387
41870,25387
36650,25388
36651,25388
41811,25388
41812,25388
36670,25389
36727,25389
36728,25389
36705,25389
41816,25389
41834,25389
41835,25389
41868,25389
36612,25390
36613,25390
36604,25391
36672,25391
41786,25391
41817,25391
36772,25392
36773,25392
41859,25392
41860,25392
36674,25393
36675,25393
41798,25393
41799,25393
41952,25394
41953,25394
41996,25394
41997,25394
36592,25395
41782,25395
36559,25396
36599,25396
41752,25396
41761,25396
36758,25397
36759,25397
36788,25397
36789,25397
41846,25397
41847,25397
36609,25398
36780,25398
41765,25398
41891,25398
36557,25399
36707,25399
36731,25399
41751,25399
41831,25399
41871,25399
36641,25400
36642,25400
41791,25400
41792,25400
37593,26637
37654,26637
47467,26637
47492,26637
37495,26638
47612,26638
37494,26639
37504,26639
47442,26639
47445,26639
37246,26640
37247,26640
47399,26640
47400,26640
37503,26641
37493,26641
47433,26641
47441,26641
37522,26642
37524,26642
37675,26642
47639,26642
47651,26642
47640,26642
47650,26642
47649,26643
37601,26643
37542,26644
37543,26644
37648,26644
47450,26644
47451,26644
47499,26644
37521,26645
37604,26645
37741,26645
37747,26645
47465,26645
47485,26645
47524,26645
34119,26646
37239,26646
37240,26646
36212,26646
37685,26646
37686,26646
47391,26646
47396,26646
47397,26646
47411,26646
47475,26646
47476,26646
37513,26647
37567,26647
47415,26647
47459,26647
37696,26648
47550,26648
37593,26649
37654,26649
47467,26649
47492,26649
47602,26650
37649,26650
37494,26651
37504,26651
47442,26651
47445,26651
37681,26652
37683,26652
47551,26652
47552,26652
37503,26653
37493,26653
47433,26653
47441,26653
37731,26654
37695,26654
37732,26654
47615,26654
47616,26654
47667,26654
47668,26654
37744,26655
47523,26655
37542,26656
37543,26656
37648,26656
47450,26656
47451,26656
47499,26656
37743,26657
37718,26657
37719,26657
37748,26657
47635,26657
47642,26657
47643,26657
34119,26658
37239,26658
37240,26658
36212,26658
37685,26658
37686,26658
47391,26658
47396,26658
47397,26658
47411,26658
47475,26658
47476,26658
37513,26659
37567,26659
47415,26659
47459,26659
37498,26660
47553,26660
100230,76498
108917,76498
100226,76499
100235,76499
108883,76499
108887,76499
99707,76501
99709,76501
102467,76501
102471,76501
108846,76501
108847,76501
109806,76501
113965,76501
103150,76503
109024,76503
100214,76504
108876,76504
110673,76504
100223,76506
100206,76506
108878,76506
108881,76506
100435,76507
100466,76507
108979,76507
110495,76507
100242,76509
108950,76509
110663,76510
115505,76510
100432,76511
108936,76511
100248,76513
108953,76513
100251,76514
103218,76514
108954,76514
110677,76514
100190,76516
100181,76516
108868,76516
108902,76516
110683,76516
100183,76517
100184,76517
100468,76517
100470,76517
108866,76517
108867,76517
108981,76517
110666,76517
99973,76519
100383,76519
100198,76520
100199,76520
108871,76520
108872,76520
100197,76521
100361,76521
100236,76523
100210,76523
100211,76523
100406,76523
108913,76523
108914,76523
110661,76523
110667,76523
100230,76525
108917,76525
100215,76526
100472,76526
108877,76526
108945,76526
99707,76528
99709,76528
102467,76528
102471,76528
108846,76528
108847,76528
109806,76528
113965,76528
103150,76530
109024,76530
100227,76531
108884,76531
110471,76531
100223,76533
100206,76533
108878,76533
108881,76533
100436,76534
100471,76534
108937,76534
108944,76534
100242,76536
108950,76536
110665,76537
110664,76537
100237,76538
108948,76538
100248,76540
108953,76540
100178,76541
103134,76541
108865,76541
110455,76541
100190,76543
100181,76543
108868,76543
108902,76543
110683,76543
100200,76544
100202,76544
100238,76544
100239,76544
108873,76544
108874,76544
108920,76544
108921,76544
99973,76546
100383,76546
100366,76547
100369,76547
108929,76547
108958,76547
100185,76548
100252,76548
100210,76550
100211,76550
100473,76550
103151,76550
108913,76550
108914,76550
110661,76550
110667,76550
103415,80749
113942,80749
103417,80750
109034,80750
117865,85465
117869,85465
121131,85465
121141,85465
123455,85465
123487,85465
127719,85465
127720,85465
120810,85467
120804,85467
123410,85467
120829,85468
120831,85468
123411,85468
123412,85468
120899,85470
123425,85470
127458,85471
127459,85471
120847,85472
123408,85472
121145,85474
123491,85474
120920,85475
123430,85475
120853,85477
123415,85477
121039,85478
121043,85478
123445,85478
123446,85478
120934,85480
120935,85480
123654,85480
130037,85480
121154,85481
121155,85481
121156,85481
121153,85481
123464,85481
123465,85481
123466,85481
123495,85481
121142,85483
123488,85483
120860,85484
120861,85484
123417,85484
123418,85484
121033,85486
123444,85486
121105,85487
121103,85487
123454,85487
123481,85487
120880,85489
120882,85489
123422,85489
123423,85489
117865,85491
117869,85491
121131,85491
121141,85491
123455,85491
123487,85491
127719,85491
127720,85491
120810,85493
120804,85493
123410,85493
120842,85494
120844,85494
123407,85494
123414,85494
120899,85496
123425,85496
130045,85497
130046,85497
120850,85498
123409,85498
121145,85500
123491,85500
120838,85501
123413,85501
120853,85503
123415,85503
121007,85504
121009,85504
123440,85504
123441,85504
120934,85506
120935,85506
123654,85506
130037,85506
121151,85507
121152,85507
121132,85507
121133,85507
123462,85507
123463,85507
123482,85507
123483,85507
121142,85509
123488,85509
121158,85510
121157,85510
123467,85510
123496,85510
121033,85512
123444,85512
121139,85513
121140,85513
123460,85513
123486,85513
120880,85515
120882,85515
123422,85515
123423,85515
121137,90687
123459,90687
121134,90688
123456,90688
132483,97408
132469,97408
138720,97408
138741,97408
132407,97409
132600,97409
138734,97409
138769,97409
132555,97411
132554,97411
132633,97411
132759,97411
136574,97411
136761,97411
138748,97411
138755,97411
138787,97411
138870,97411
139038,97411
139051,97411
132549,97413
132689,97413
138754,97413
138836,97413
132418,97415
132652,97415
138712,97415
138803,97415
132601,97416
132661,97416
138770,97416
138812,97416
132604,97418
138773,97418
139238,97419
139240,97419
132724,97420
138849,97420
132632,97422
138786,97422
132657,97423
132658,97423
139254,97423
139253,97423
132769,97425
138872,97425
132557,97426
132561,97426
138758,97426
139229,97426
132729,97427
136823,97427
139267,97427
139268,97427
132484,97429
132482,97429
132630,97429
132631,97429
138721,97429
138742,97429
138784,97429
138785,97429
132483,97454
132469,97454
138720,97454
138741,97454
132556,97455
132662,97455
138756,97455
138813,97455
132555,97457
132554,97457
132633,97457
132759,97457
136574,97457
136761,97457
138748,97457
138755,97457
138787,97457
138870,97457
139038,97457
139051,97457
132603,97459
132728,97459
138772,97459
138851,97459
132418,97461
132652,97461
138712,97461
138803,97461
132419,97462
132663,97462
138713,97462
138814,97462
132604,97464
138773,97464
139261,97465
139262,97465
132688,97466
138835,97466
132632,97468
138786,97468
132734,97469
132735,97469
139230,97469
139231,97469
132769,97471
138872,97471
136526,97472
136527,97472
138889,97472
138890,97472
132781,97473
132780,97473
139257,97473
139258,97473
132484,97475
132482,97475
132630,97475
132631,97475
138721,97475
138742,97475
138784,97475
138785,97475
135099,98002
137675,98002
135186,98003
135127,98003
145545,98003
145564,98003
135089,98005
132813,98005
136568,98005
136570,98005
137526,98005
137615,98005
144952,98005
144953,98005
135108,98007
137624,98007
135104,98008
135187,98008
137678,98008
145568,98008
135045,98010
135081,98010
145537,98010
145555,98010
135073,98011
135088,98011
145538,98011
145556,98011
135157,98013
137649,98013
145547,98014
145548,98014
135124,98015
137631,98015
135112,98017
137625,98017
134963,98018
136537,98018
137578,98018
137766,98018
135123,98020
135131,98020
137630,98020
137637,98020
