id,education_id,exam_type_id
54311,52050,44
55950,53693,44
55951,53694,44
55952,53695,46
55953,53696,44
55954,53697,46
55955,53699,45
55956,53700,45
55964,53709,44
55965,53710,44
55966,53711,46
55967,53712,44
55968,53713,46
55969,53715,45
55970,53716,45
56047,53802,44
56048,53803,46
56049,53805,44
56050,53806,46
56051,53807,44
56052,53808,46
56053,53809,44
56054,53810,46
56055,53811,44
56056,53812,46
56057,53814,44
56058,53815,46
56059,53816,44
56060,53817,46
56061,53818,44
56062,53819,46
56437,54207,44
56438,54208,44
56439,54209,44
56440,54210,44
56441,54210,45
56442,54211,46
56443,54212,45
56444,54213,45
56445,54214,44
56446,54215,44
56447,54216,44
56448,54217,44
56449,54217,45
56450,54218,46
56451,54219,45
56452,54220,45
57503,55377,48
57504,55378,47
57505,55378,49
57506,55379,48
57507,55380,47
57508,55381,48
57509,55382,47
57510,55383,49
57511,55384,49
57521,55393,48
57522,55394,47
57523,55394,49
57524,55395,48
57525,55396,47
57526,55397,48
57527,55398,47
57528,55399,49
57529,55400,49
57609,55480,47
57610,55481,48
57611,55482,48
57612,55483,47
57613,55484,47
57614,55485,47
57615,55486,48
57616,55487,47
57617,55488,48
57618,55489,48
57619,55490,47
57620,55491,47
57621,55492,47
57622,55493,48
59668,57417,48
59669,57418,49
59670,57419,49
59671,57420,48
59672,57421,47
59673,57422,47
59674,57423,47
59675,57424,48
59676,57426,48
59677,57427,47
59678,57428,48
59679,57429,47
59680,57430,48
59681,57431,47
59682,57432,48
59690,57441,47
59691,57442,48
59692,57443,47
59693,57444,48
59694,57445,47
59695,57446,48
59696,57447,47
59697,57448,48
59792,57537,47
59793,57538,47
59794,57539,48
59795,57540,48
59796,57541,47
59797,57542,47
59798,57543,47
59799,57544,48
59800,57545,48
59801,57546,47
59802,57668,47
59803,57669,47
59804,57669,49
59805,57670,49
59806,57671,49
59807,57672,47
59808,57673,47
59809,57674,48
59810,57675,47
59811,57676,47
59812,57676,49
59813,57677,49
59814,57678,49
59815,57679,47
59816,57680,47
59817,57681,48
60115,57425,47
61804,59824,52
61805,59825,50
61806,59826,50
61807,59827,50
61808,59828,52
61809,59829,50
61822,59844,52
61823,59845,50
61824,59847,52
61825,59848,52
61826,59849,50
61827,59850,51
61828,59851,52
61829,59852,52
61830,59853,50
61831,59855,52
61832,59856,52
61833,59857,50
61834,59858,51
61835,59859,52
61856,59881,50
61857,59882,50
61858,59883,50
61859,59884,50
61860,59884,51
61861,59885,52
61862,59886,51
61863,59887,51
61864,59888,50
61865,59889,50
61866,59890,50
61867,59891,50
61868,59891,51
61869,59892,52
61870,59893,51
61871,59894,51
61879,59903,50
61880,59904,52
61881,59905,50
61882,59906,50
61883,59908,50
61884,59909,51
61885,59910,51
61886,59911,52
61887,59912,52
61888,59913,50
61889,59914,50
61890,59914,51
61891,59915,50
61892,59916,50
61900,59925,52
61901,59926,52
61902,59927,50
61903,59928,50
61904,59928,51
61905,59929,50
61906,59930,50
61926,59951,52
61927,59953,50
61928,59954,50
61929,59955,50
61930,59956,50
61931,59957,51
61932,59958,52
61933,59960,50
61934,59961,50
61935,59962,50
61936,59963,50
61937,59964,51
61938,59965,52
61939,59967,50
61940,59968,50
61941,59969,50
61942,59970,50
61943,59971,51
64543,62576,52
64544,62577,50
64545,62578,52
64546,62579,50
64547,62580,50
64548,62580,51
64549,62581,52
64550,62582,51
64551,62583,51
64561,62592,52
64562,62593,50
64563,62594,52
64564,62595,50
64565,62596,50
64566,62596,51
64567,62597,52
64568,62598,51
64569,62599,51
64591,62624,52
64592,62625,50
64593,62626,52
64594,62627,50
64595,62628,50
64596,62629,52
64597,62630,52
64598,62632,52
64599,62633,50
64600,62634,52
64601,62635,50
64602,62636,50
64603,62637,52
64604,62638,52
64622,62658,50
64623,62659,52
64624,62661,50
64625,62662,52
64626,62663,52
64627,62664,50
64628,62665,50
64629,62666,52
64630,62667,52
64631,62668,50
64632,62669,52
64633,62671,50
64634,62672,52
64635,62673,52
64636,62674,50
64637,62675,50
64638,62676,52
64639,62677,52
64640,62678,50
64641,62679,52
64642,62681,50
64643,62682,52
64644,62683,52
64645,62684,50
64646,62685,50
64647,62686,52
64648,62687,52
66352,65044,55
