id,group_id,starts_at_week_id,completes_at_week_id
22071,8240,511,513
21983,8358,511,514
22054,8218,511,513
22060,8246,511,513
22068,8216,511,513
22069,8236,511,513
21981,8356,511,514
21670,8356,503,510
22240,9121,522,530
22241,9121,531,539
22242,9121,540,543
22370,9069,522,530
22379,9133,522,530
22371,9069,531,539
22380,9133,531,539
22372,9069,540,543
22381,9133,540,543
22434,9122,522,530
22481,9070,531,539
22435,9122,531,539
22482,9070,540,543
22436,9122,540,543
22657,9072,522,530
22619,9071,531,539
22658,9072,531,539
22620,9071,540,543
22659,9072,540,543
22756,9059,522,530
22757,9059,531,539
22758,9059,540,543
22816,9130,522,530
22817,9130,531,539
22818,9130,540,543
23025,9061,522,530
22971,9131,522,530
23056,9073,531,539
23026,9061,531,539
22972,9131,531,539
23057,9073,540,543
23027,9061,540,543
22973,9131,540,543
23208,9060,522,530
23209,9060,531,539
23210,9060,540,543
23269,9481,555,574
23371,9429,546,553
23372,9429,554,561
23373,9429,562,574
23380,9493,555,574
23426,9482,555,574
23461,9430,562,574
23459,9430,546,553
23460,9430,554,561
23568,9431,546,553
23602,9432,546,553
23569,9431,554,561
23603,9432,554,561
23570,9431,562,574
23604,9432,562,574
23687,9419,546,553
23688,9419,554,561
23689,9419,562,574
23731,9490,556,574
23845,9491,555,574
23894,9421,562,574
23892,9421,546,553
23915,9433,546,553
23916,9433,554,561
23893,9421,554,561
23917,9433,562,574
24034,9420,562,574
24032,9420,546,553
24033,9420,554,561
22480,9070,522,530
22618,9071,522,530
23055,9073,522,530
24887,9481,546,553
24888,9481,554,554
24889,9482,546,553
24750,9490,546,553
24751,9490,554,555
24890,9482,554,554
24755,9491,546,553
24756,9491,554,554
24762,9493,546,553
24763,9493,554,554
25447,10180,575,583
25448,10180,584,593
25449,10180,594,596
25609,10182,575,583
25639,10183,575,583
25610,10182,584,593
25640,10183,584,593
25611,10182,594,596
25641,10183,594,596
25712,10170,575,583
25713,10170,584,593
25714,10170,594,596
25873,10172,575,583
25891,10184,575,583
25874,10172,584,593
25892,10184,584,593
25875,10172,594,596
25893,10184,594,596
25978,10171,575,583
25979,10171,584,593
25980,10171,594,596
26515,10181,594,596
26513,10181,575,584
26514,10181,584,593
27297,10551,608,619
27421,10553,608,619
27447,10554,608,619
27631,10555,608,619
27704,10542,608,610
28313,10542,607,607
28311,10541,607,607
28362,10552,599,606
28363,10552,607,607
28364,10552,608,619
28355,10551,599,606
28357,10553,599,606
28359,10554,599,606
28361,10555,599,606
28310,10541,599,606
28312,10542,599,606
28314,10543,599,606
28356,10551,607,607
28358,10553,607,607
28360,10554,607,607
28315,10543,607,607
27500,10541,608,610
27617,10543,608,610
28471,10555,607,607
