id,grade,student_id,discipline_semester_period_id,kind,marked_on,passed_on
903660,2,11934,52520,kt_1,2018-10-10,
903662,5,11936,52520,kt_1,2018-10-10,
903664,3,11937,52520,kt_1,2018-10-10,
903669,5,11940,52520,kt_1,2018-10-10,
903670,0,11941,52520,kt_1,2018-10-10,
903712,3,13222,52767,kt_1,2018-10-10,
903713,4,13223,52767,kt_1,2018-10-10,
903714,2,13224,52767,kt_1,2018-10-10,
903715,4,13532,52767,kt_1,2018-10-10,
903716,2,13225,52767,kt_1,2018-10-10,
903717,5,13226,52767,kt_1,2018-10-10,
903718,4,13227,52767,kt_1,2018-10-10,
903719,5,13228,52767,kt_1,2018-10-10,
903720,2,13229,52767,kt_1,2018-10-10,
903721,5,13230,52767,kt_1,2018-10-10,
903722,5,13231,52767,kt_1,2018-10-10,
903723,4,13232,52767,kt_1,2018-10-10,
903724,5,13233,52767,kt_1,2018-10-10,
903725,2,13234,52767,kt_1,2018-10-10,
903726,5,13235,52767,kt_1,2018-10-10,
903727,5,13237,52767,kt_1,2018-10-10,
903728,0,13239,52767,kt_1,2018-10-10,
903729,0,13240,52767,kt_1,2018-10-10,
903730,5,13241,52767,kt_1,2018-10-10,
903731,0,13242,52767,kt_1,2018-10-10,
903732,0,13243,52767,kt_1,2018-10-10,
903742,2,11269,52532,kt_1,2018-10-10,
903744,3,11270,52532,kt_1,2018-10-10,
903801,0,13209,52560,kt_1,2018-10-10,
903803,0,11162,52560,kt_1,2018-10-10,
903851,0,13743,52560,kt_1,2018-10-10,
903969,0,13247,52742,kt_1,2018-10-10,
905629,2,13247,52741,kt_1,2018-10-10,
906444,5,11246,52120,kt_1,2018-10-10,
907428,3,11246,52121,kt_1,2018-10-11,
908100,4,11844,52516,kt_1,2018-10-11,
908105,4,11845,52516,kt_1,2018-10-11,
908111,4,11846,52516,kt_1,2018-10-11,
908113,5,11847,52516,kt_1,2018-10-11,
908139,5,11848,52516,kt_1,2018-10-11,
908140,5,11849,52516,kt_1,2018-10-11,
908152,5,11850,52516,kt_1,2018-10-11,
908158,5,11851,52516,kt_1,2018-10-11,
908161,5,11852,52516,kt_1,2018-10-11,
908166,5,11853,52516,kt_1,2018-10-11,
908169,5,11854,52516,kt_1,2018-10-11,
908171,4,11855,52516,kt_1,2018-10-11,
908173,5,11856,52516,kt_1,2018-10-11,
908177,5,11857,52516,kt_1,2018-10-11,
908179,4,11858,52516,kt_1,2018-10-11,
908181,5,11859,52516,kt_1,2018-10-11,
908183,4,11860,52516,kt_1,2018-10-11,
908184,5,11861,52516,kt_1,2018-10-11,
908186,4,11862,52516,kt_1,2018-10-11,
908187,5,11863,52516,kt_1,2018-10-11,
908216,5,11926,52524,kt_1,2018-10-11,
908224,4,11929,52524,kt_1,2018-10-11,
908240,5,11932,52524,kt_1,2018-10-11,
908243,4,11933,52524,kt_1,2018-10-11,
908247,4,11934,52524,kt_1,2018-10-11,
908253,5,11936,52524,kt_1,2018-10-11,
908256,5,11937,52524,kt_1,2018-10-11,
908267,5,11940,52524,kt_1,2018-10-11,
908272,5,11941,52524,kt_1,2018-10-11,
908368,4,11844,52514,kt_1,2018-10-11,
908370,4,11845,52514,kt_1,2018-10-11,
908371,4,11846,52514,kt_1,2018-10-11,
908372,5,11847,52514,kt_1,2018-10-11,
908374,5,11848,52514,kt_1,2018-10-11,
908376,5,11849,52514,kt_1,2018-10-11,
908377,5,11850,52514,kt_1,2018-10-11,
908379,5,11851,52514,kt_1,2018-10-11,
908381,4,11852,52514,kt_1,2018-10-11,
908382,5,11853,52514,kt_1,2018-10-11,
908386,5,11854,52514,kt_1,2018-10-11,
908393,4,11855,52514,kt_1,2018-10-11,
908396,4,11856,52514,kt_1,2018-10-11,
908399,5,11857,52514,kt_1,2018-10-11,
908403,3,11858,52514,kt_1,2018-10-11,
908407,5,11859,52514,kt_1,2018-10-11,
908408,4,11860,52514,kt_1,2018-10-11,
908409,5,11861,52514,kt_1,2018-10-12,
908412,3,11862,52514,kt_1,2018-10-11,
908415,5,11863,52514,kt_1,2018-10-11,
908440,4,11926,52522,kt_1,2018-10-11,
908443,3,11929,52522,kt_1,2018-10-11,
908447,4,11932,52522,kt_1,2018-10-11,
908449,3,11933,52522,kt_1,2018-10-11,
908452,3,11934,52522,kt_1,2018-10-11,
908454,4,11936,52522,kt_1,2018-10-11,
908455,3,11937,52522,kt_1,2018-10-11,
908460,3,11940,52522,kt_1,2018-10-11,
908463,4,11941,52522,kt_1,2018-10-11,
908550,4,11246,52125,kt_1,2018-10-11,
908826,5,12100,52164,kt_1,2018-10-11,
908827,5,12101,52164,kt_1,2018-10-11,
908828,5,12102,52164,kt_1,2018-10-11,
908829,5,12103,52164,kt_1,2018-10-11,
908830,5,12104,52164,kt_1,2018-10-11,
908831,5,12105,52164,kt_1,2018-10-11,
908832,5,12106,52164,kt_1,2018-10-11,
908833,4,12107,52164,kt_1,2018-10-11,
908834,5,12108,52164,kt_1,2018-10-11,
908835,2,12109,52164,kt_1,2018-10-11,
908836,5,12110,52164,kt_1,2018-10-11,
908837,5,12111,52164,kt_1,2018-10-11,
908838,5,12112,52164,kt_1,2018-10-11,
908839,2,12113,52164,kt_1,2018-10-11,
908840,5,12114,52164,kt_1,2018-10-11,
908841,2,12115,52164,kt_1,2018-10-11,
908842,5,12116,52164,kt_1,2018-10-11,
908843,5,12117,52164,kt_1,2018-10-11,
908844,0,12118,52164,kt_1,2018-10-11,
908845,5,12119,52164,kt_1,2018-10-11,
908846,5,12120,52164,kt_1,2018-10-11,
908847,5,12121,52164,kt_1,2018-10-11,
908848,4,12122,52164,kt_1,2018-10-11,
908849,5,12123,52164,kt_1,2018-10-11,
908850,5,12124,52164,kt_1,2018-10-11,
908851,4,12125,52164,kt_1,2018-10-11,
908852,5,12126,52164,kt_1,2018-10-11,
908853,5,12127,52164,kt_1,2018-10-11,
908854,5,12128,52164,kt_1,2018-10-11,
908855,5,12129,52164,kt_1,2018-10-11,
908856,5,12130,52164,kt_1,2018-10-11,
908857,5,12131,52164,kt_1,2018-10-11,
908858,5,12132,52164,kt_1,2018-10-11,
908859,5,12133,52164,kt_1,2018-10-11,
908957,3,11991,52154,kt_1,2018-10-11,
908958,5,11992,52154,kt_1,2018-10-11,
908959,5,11993,52154,kt_1,2018-10-11,
908960,5,11994,52154,kt_1,2018-10-11,
908961,5,11995,52154,kt_1,2018-10-11,
908963,5,11996,52154,kt_1,2018-10-11,
908964,4,11997,52154,kt_1,2018-10-11,
908966,5,11998,52154,kt_1,2018-10-11,
908967,5,11999,52154,kt_1,2018-10-11,
908968,5,12000,52154,kt_1,2018-10-11,
908969,5,12001,52154,kt_1,2018-10-11,
908971,5,12002,52154,kt_1,2018-10-11,
908972,5,12003,52154,kt_1,2018-10-11,
908973,5,12004,52154,kt_1,2018-10-11,
908974,5,12005,52154,kt_1,2018-10-11,
908975,5,12006,52154,kt_1,2018-10-11,
908976,5,12007,52154,kt_1,2018-10-11,
908977,5,12008,52154,kt_1,2018-10-11,
908978,5,12009,52154,kt_1,2018-10-11,
908979,5,12010,52154,kt_1,2018-10-11,
908981,5,12011,52154,kt_1,2018-10-11,
908982,5,12012,52154,kt_1,2018-10-11,
908984,5,12013,52154,kt_1,2018-10-11,
908985,5,12014,52154,kt_1,2018-10-11,
908987,5,12015,52154,kt_1,2018-10-11,
908989,5,12016,52154,kt_1,2018-10-11,
908990,5,12017,52154,kt_1,2018-10-11,
908991,5,12018,52154,kt_1,2018-10-11,
908992,5,12019,52154,kt_1,2018-10-11,
908993,4,12020,52154,kt_1,2018-10-11,
908995,5,12021,52154,kt_1,2018-10-11,
908997,5,12022,52154,kt_1,2018-10-11,
908998,3,12023,52154,kt_1,2018-10-11,
909051,5,11889,52136,kt_1,2018-10-11,
909052,5,11890,52136,kt_1,2018-10-11,
909053,5,11891,52136,kt_1,2018-10-11,
909054,5,11892,52136,kt_1,2018-10-11,
909055,5,11893,52136,kt_1,2018-10-11,
909056,5,11894,52136,kt_1,2018-10-11,
909057,5,11895,52136,kt_1,2018-10-11,
909058,5,11896,52136,kt_1,2018-10-11,
909059,5,11897,52136,kt_1,2018-10-11,
909060,5,11898,52136,kt_1,2018-10-11,
909061,5,11899,52136,kt_1,2018-10-11,
909062,5,11900,52136,kt_1,2018-10-11,
909063,5,11901,52136,kt_1,2018-10-11,
909064,5,11902,52136,kt_1,2018-10-11,
909065,5,11903,52136,kt_1,2018-10-11,
909066,5,11904,52136,kt_1,2018-10-11,
909067,5,11905,52136,kt_1,2018-10-11,
909068,5,11906,52136,kt_1,2018-10-11,
909069,5,11907,52136,kt_1,2018-10-11,
909070,5,11908,52136,kt_1,2018-10-11,
909071,5,11909,52136,kt_1,2018-10-11,
909072,4,11910,52136,kt_1,2018-10-11,
909073,5,11911,52136,kt_1,2018-10-11,
909074,5,11912,52136,kt_1,2018-10-11,
909075,5,11913,52136,kt_1,2018-10-11,
909076,5,11914,52136,kt_1,2018-10-11,
909077,5,11915,52136,kt_1,2018-10-11,
909078,5,11916,52136,kt_1,2018-10-11,
909079,5,11917,52136,kt_1,2018-10-11,
909080,5,11918,52136,kt_1,2018-10-11,
909081,5,11919,52136,kt_1,2018-10-11,
909082,5,11920,52136,kt_1,2018-10-11,
909083,5,11921,52136,kt_1,2018-10-11,
909084,5,11922,52136,kt_1,2018-10-11,
909960,0,13537,52716,kt_1,2018-10-11,
909972,0,13523,52723,kt_1,2018-10-11,
909974,0,13721,52723,kt_1,2018-10-11,
909983,0,13524,52723,kt_1,2018-10-11,
912245,4,11269,50761,diff_qualification,2018-10-12,2018-10-12
912247,5,11270,50761,diff_qualification,2018-10-12,2018-09-07
912288,4,13209,50763,diff_qualification,2018-10-12,2018-10-12
912289,4,11162,50763,diff_qualification,2018-10-12,2018-10-12
912486,4,13222,52762,kt_1,2018-10-12,
912487,4,13223,52762,kt_1,2018-10-12,
912490,0,13224,52762,kt_1,2018-10-12,
912491,5,13532,52762,kt_1,2018-10-12,
912492,0,13225,52762,kt_1,2018-10-12,
912493,5,13226,52762,kt_1,2018-10-12,
912495,4,13227,52762,kt_1,2018-10-12,
912498,5,13228,52762,kt_1,2018-10-12,
912499,2,13229,52762,kt_1,2018-10-12,
912502,3,13230,52762,kt_1,2018-10-12,
912505,5,13231,52762,kt_1,2018-10-12,
912506,4,13232,52762,kt_1,2018-10-12,
912507,3,13233,52762,kt_1,2018-10-12,
912509,3,13234,52762,kt_1,2018-10-12,
912511,5,13235,52762,kt_1,2018-10-12,
912513,3,13237,52762,kt_1,2018-10-12,
912515,0,13239,52762,kt_1,2018-10-12,
912516,0,13240,52762,kt_1,2018-10-12,
912517,5,13241,52762,kt_1,2018-10-12,
912519,0,13242,52762,kt_1,2018-10-12,
912520,4,13243,52762,kt_1,2018-10-12,
914333,0,13537,52721,kt_1,2018-10-12,
914345,0,13523,52728,kt_1,2018-10-12,
914347,0,13721,52728,kt_1,2018-10-12,
914356,2,13524,52728,kt_1,2018-10-12,
915741,3,13222,52763,kt_1,2018-10-13,
915742,5,13223,52763,kt_1,2018-10-13,
915743,0,13224,52763,kt_1,2018-10-13,
915744,0,13532,52763,kt_1,2018-10-13,
915745,3,13225,52763,kt_1,2018-10-13,
915746,5,13226,52763,kt_1,2018-10-13,
915747,5,13227,52763,kt_1,2018-10-13,
915748,3,13228,52763,kt_1,2018-10-13,
915749,0,13229,52763,kt_1,2018-10-13,
915750,5,13230,52763,kt_1,2018-10-13,
915751,3,13231,52763,kt_1,2018-10-13,
915752,4,13232,52763,kt_1,2018-10-13,
915753,5,13233,52763,kt_1,2018-10-13,
915754,3,13234,52763,kt_1,2018-10-13,
915755,5,13235,52763,kt_1,2018-10-13,
915756,4,13237,52763,kt_1,2018-10-13,
915757,2,13239,52763,kt_1,2018-10-13,
915758,0,13240,52763,kt_1,2018-10-13,
915759,2,13241,52763,kt_1,2018-10-13,
915760,0,13242,52763,kt_1,2018-10-13,
915761,2,13243,52763,kt_1,2018-10-13,
915886,0,13222,52764,kt_1,2018-10-13,
915887,5,13223,52764,kt_1,2018-10-13,
915888,0,13224,52764,kt_1,2018-10-13,
915889,0,13532,52764,kt_1,2018-10-13,
915890,3,13225,52764,kt_1,2018-10-13,
915891,5,13226,52764,kt_1,2018-10-13,
915892,5,13227,52764,kt_1,2018-10-13,
915893,5,13228,52764,kt_1,2018-10-13,
915894,0,13229,52764,kt_1,2018-10-13,
915895,5,13230,52764,kt_1,2018-10-13,
915896,4,13231,52764,kt_1,2018-10-13,
915897,4,13232,52764,kt_1,2018-10-13,
915898,5,13233,52764,kt_1,2018-10-13,
915899,3,13234,52764,kt_1,2018-10-13,
915900,5,13235,52764,kt_1,2018-10-13,
915901,3,13237,52764,kt_1,2018-10-13,
915902,0,13239,52764,kt_1,2018-10-13,
915903,0,13240,52764,kt_1,2018-10-13,
915904,4,13241,52764,kt_1,2018-10-13,
915905,0,13242,52764,kt_1,2018-10-13,
915906,5,13243,52764,kt_1,2018-10-13,
917367,4,11889,52142,kt_1,2018-10-13,
917368,5,11890,52142,kt_1,2018-10-13,
917369,4,11891,52142,kt_1,2018-10-13,
917370,5,11892,52142,kt_1,2018-10-13,
917371,5,11893,52142,kt_1,2018-10-13,
917372,0,11894,52142,kt_1,2018-10-13,
917373,0,11895,52142,kt_1,2018-10-13,
917374,5,11896,52142,kt_1,2018-10-13,
917375,5,11897,52142,kt_1,2018-10-13,
917376,5,11898,52142,kt_1,2018-10-13,
917377,4,11899,52142,kt_1,2018-10-13,
917378,5,11900,52142,kt_1,2018-10-13,
917379,5,11901,52142,kt_1,2018-10-13,
917380,4,11902,52142,kt_1,2018-10-13,
917381,4,11904,52142,kt_1,2018-10-13,
917382,5,11903,52142,kt_1,2018-10-13,
917383,5,11905,52142,kt_1,2018-10-13,
917384,5,11906,52142,kt_1,2018-10-13,
917385,5,11907,52142,kt_1,2018-10-13,
917386,5,11908,52142,kt_1,2018-10-13,
917387,5,11909,52142,kt_1,2018-10-13,
917388,5,11910,52142,kt_1,2018-10-13,
917389,5,11911,52142,kt_1,2018-10-13,
917390,4,11912,52142,kt_1,2018-10-13,
