id,study_id,enrollment_at,deleted_at,group_id
12109,157422,2018-08-31,2022-07-15 01:00:08 +0700,482
12110,157469,2018-08-31,2022-08-30 23:07:06 +0700,482
12111,157418,2018-08-31,2022-08-30 23:07:06 +0700,482
12112,157094,2018-08-31,2019-12-18 01:00:11 +0700,482
12113,157088,2018-08-31,2019-09-27 22:18:10 +0700,482
12114,157431,2018-08-31,2022-08-30 23:07:06 +0700,482
12115,157454,2018-08-31,2019-02-27 01:01:04 +0700,482
12116,157468,2018-08-31,2022-07-15 01:00:08 +0700,482
12117,157413,2018-08-31,2022-08-30 23:07:06 +0700,482
12118,157408,2018-08-31,2022-06-23 01:00:15 +0700,482
12119,157432,2018-08-31,2022-07-15 01:00:08 +0700,482
12120,157488,2018-08-31,2021-07-11 01:00:07 +0700,482
12121,157477,2018-08-31,2020-02-05 01:00:12 +0700,482
12122,157470,2018-08-31,2022-08-30 23:07:06 +0700,482
12123,157091,2018-08-31,2022-08-30 23:07:06 +0700,482
12124,157490,2018-08-31,2020-02-07 01:00:37 +0700,482
12125,157456,2018-08-31,2022-07-15 01:00:08 +0700,482
12126,157496,2018-08-31,2020-08-07 01:00:06 +0700,482
12127,157447,2018-08-31,2021-04-09 01:00:06 +0700,482
12128,157429,2018-08-31,2022-07-15 01:00:08 +0700,482
12129,157449,2018-08-31,2019-05-31 01:00:08 +0700,482
12130,157467,2018-08-31,2022-08-30 23:07:06 +0700,482
12131,157453,2018-08-31,2020-03-26 01:00:06 +0700,482
12132,157482,2018-08-31,2021-12-30 01:00:07 +0700,482
12133,157491,2018-08-31,2020-03-04 01:00:14 +0700,482
12134,157504,2018-08-31,2019-04-25 01:00:10 +0700,483
12135,157506,2018-08-31,2022-09-06 01:00:07 +0700,483
12136,157550,2018-08-31,2021-05-16 01:00:06 +0700,483
12137,157521,2018-08-31,2022-09-06 01:00:07 +0700,483
12138,157402,2018-08-31,2022-09-06 01:00:07 +0700,483
12139,157526,2018-08-31,2022-09-06 01:00:07 +0700,483
12140,158967,2018-08-31,2022-06-24 01:00:07 +0700,483
12141,157552,2018-08-31,2022-09-06 01:00:07 +0700,483
12142,157574,2018-08-31,2022-02-27 01:00:06 +0700,483
12143,157553,2018-08-31,2022-09-06 01:00:07 +0700,483
12144,157529,2018-08-31,2022-07-05 01:00:06 +0700,483
12145,157518,2018-08-31,2022-09-06 01:00:07 +0700,483
12146,158968,2018-08-31,2022-02-27 01:00:06 +0700,483
12147,157549,2018-08-31,2022-06-29 01:00:07 +0700,483
12148,157394,2018-08-31,2019-06-06 01:00:08 +0700,483
12149,157576,2018-08-31,2022-09-06 01:00:07 +0700,483
12150,158964,2018-08-31,2020-02-07 01:00:37 +0700,483
12151,157502,2018-08-31,2022-07-19 01:00:12 +0700,483
12152,157547,2018-08-31,2022-09-06 01:00:07 +0700,483
12153,157528,2018-08-31,2022-07-19 01:00:12 +0700,483
12154,158963,2018-08-31,2022-06-19 01:00:07 +0700,483
12155,157510,2018-08-31,2022-09-06 01:00:07 +0700,483
12156,158965,2018-08-31,2022-09-06 01:00:07 +0700,483
12157,157520,2018-08-31,2022-09-06 01:00:07 +0700,483
12158,157505,2018-08-31,2022-07-19 01:00:12 +0700,483
12159,157527,2018-08-31,2019-02-08 01:00:40 +0700,483
12160,157532,2018-08-31,2022-09-06 01:00:07 +0700,483
12161,157586,2018-08-31,2022-09-06 01:00:07 +0700,483
12162,157517,2018-08-31,2022-09-06 01:00:07 +0700,483
12224,157563,2018-08-31,2022-09-06 01:00:07 +0700,488
12225,157511,2018-08-31,2022-09-06 01:00:07 +0700,488
12226,157551,2018-08-31,2022-07-20 01:00:10 +0700,488
12227,157567,2018-08-31,2022-09-06 01:00:07 +0700,488
12228,157578,2018-08-31,2020-03-01 01:00:06 +0700,488
12229,157577,2018-08-31,2022-09-06 01:00:07 +0700,488
12230,157536,2018-08-31,2022-09-06 01:00:07 +0700,488
12231,157582,2018-08-31,2022-09-06 01:00:07 +0700,488
12232,157544,2018-08-31,2022-09-06 01:00:07 +0700,488
12233,157542,2018-08-31,2020-10-01 20:47:52 +0700,488
12234,157515,2018-08-31,2022-09-06 01:00:07 +0700,488
12235,158966,2018-08-31,2022-04-07 01:00:06 +0700,488
12236,157572,2018-08-31,2022-09-06 01:00:07 +0700,488
