id,group_id,discipline_id
59961,6494,23904
59962,6494,23905
59963,6494,24000
59964,6494,23906
59965,6495,23900
59966,6495,23901
59967,6495,23902
59968,6495,23904
59969,6495,23905
59970,6495,24000
59971,6495,23906
62576,6803,23773
62577,6803,23744
62578,6803,23774
62579,6803,23775
62580,6803,23776
62581,6803,23777
62582,6803,23778
62583,6803,23779
62592,6805,23773
62593,6805,23744
62594,6805,23774
62595,6805,23775
62596,6805,23776
62597,6805,23777
62598,6805,23778
62599,6805,23779
62624,6809,23720
62625,6809,23786
62626,6809,23721
62627,6809,23723
62628,6809,23787
62629,6809,23788
62630,6809,23789
62631,6809,23726
62632,6810,23720
62633,6810,23786
62634,6810,23721
62635,6810,23723
62636,6810,23787
62637,6810,23788
62638,6810,23789
62639,6810,23726
62658,6814,23733
62659,6814,23729
62660,6814,23734
62661,6814,23766
62662,6814,23741
62663,6814,23799
62664,6814,23800
62665,6814,23769
62666,6814,23801
62667,6814,23802
62668,6815,23733
62669,6815,23729
62670,6815,23734
62671,6815,23766
62672,6815,23741
62673,6815,23799
62674,6815,23800
62675,6815,23769
62676,6815,23801
62677,6815,23802
62678,6816,23733
62679,6816,23729
62680,6816,23734
62681,6816,23766
62682,6816,23741
62683,6816,23799
62684,6816,23800
62685,6816,23769
62686,6816,23801
62687,6816,23802
63012,6809,24704
63013,6814,24705
63014,6476,24706
63015,6479,24707
63022,6810,24704
63023,6815,24705
63025,6480,24707
63031,6816,24705
63032,6488,24706
63033,6493,24707
63040,6494,24707
63045,6490,24706
63046,6495,24707
65044,7098,25799
65045,7098,25862
65046,7098,25863
65047,7098,25864
65048,7098,25865
65049,7100,25799
65050,7100,25862
65051,7100,25863
65052,7100,25864
65053,7100,25865
65129,7104,25872
65130,7104,25851
65131,7104,25873
65132,7104,25874
65133,7104,25875
65134,7104,25876
65135,7104,25821
65136,7104,25877
65137,7104,25878
65138,7105,25872
65139,7105,25851
65140,7105,25873
65141,7105,25874
65142,7105,25875
65143,7105,25876
65144,7105,25821
65145,7105,25877
65146,7105,25878
65186,7109,25826
65187,7109,25831
65188,7109,25855
65189,7109,25884
65190,7109,25857
65191,7109,25885
65192,7109,25886
65193,7109,25887
65194,7110,25826
65195,7110,25831
65196,7110,25855
65197,7110,25884
65198,7110,25857
65199,7110,25885
65200,7110,25886
65201,7110,25887
65202,7111,25826
65203,7111,25831
65204,7111,25855
65205,7111,25884
65206,7111,25857
65207,7111,25885
65208,7111,25886
65209,7111,25887
66248,7248,24038
66249,7248,24039
66250,7248,24087
66251,7248,24088
66252,7248,24089
66253,7248,24090
66254,7248,24091
66255,7248,24092
66264,7250,24048
66265,7250,24049
66266,7250,24051
66267,7250,24050
66268,7250,24053
66269,7250,24093
66270,7250,24094
66271,7250,24095
66272,7251,24048
66273,7251,24049
66274,7251,24051
66275,7251,24050
66276,7251,24053
66277,7251,24093
