id,semester_id,course_id,name
22823,16,1064,Цифровые системы автоматического управления***
22824,16,1064,Синтез управляющих программ микроконтроллеров на моделях ( ГПО 3)
22825,16,1064,Инженерная и компьютерная графика
22826,16,1064,Экология
22827,16,1063,Основы проектирования систем и средств управления / Надежность информационных систем
22828,16,1063,Пакеты прикладных программ*
22829,16,1063,Информационно-управляющие системы в технологических процессах ( ГПО-1)
22830,16,1064,Правоведение
22831,16,1064,Технология программирования
22832,16,1064,Математические методы исследования систем
22833,16,1064,Вычислительная математика***
22834,16,1064,Менеджмент
22835,16,1064,Математические методы в информатике (ГПО 3)
22836,16,1064,Элективные дисциплины по физической культуре и спорту
22837,16,1063,Базы данных
22838,16,1063,Теория вероятности и математическая статистика
22839,16,1063,Теория систем и системный анализ
22840,16,1063,Элективные дисциплины по физической культуре и спорту
22841,16,1063,Теория информационных систем*
22842,16,1063,Теоретические основы автоматизированного управления (ГПО1)
22843,16,1064,Теория и системы управления
22844,16,1064,Модели и методы анализа проектных решений
22845,16,1064,Организация ЭВМ и систем ***
22846,16,1064,Объектно-ориентированное проектирование (ГПО-3)
22847,16,1064,Экономика
22848,16,1064,Введение в специальность
22849,16,1063,Объектно-ориентированние программирование*
22850,16,1063,Управление проектами (ГПО-1)
22851,16,1063,Основы электротехники и электроники
22852,16,1062,Физика для информатики
22853,16,1064,Интеллектуальные системы и технологии
22854,16,1064,Методы и средства проектирования информационных систем и технологий
22855,16,1064,Математические методы в информатике (ГПО3)
22856,16,1063,Управление данными
22857,16,1063,Теория вероятности и маематическая статистика
22858,16,1063,Элективные дисциплины по физической культуре и спорту
22859,16,1063,Корпоративные информационные системы*
22860,16,1063,Управленческие информационные системы (ГПО1)
22861,16,1063,Информационные технологии в дизайне/ Введение в теорию дизайна
22869,16,1056,Час куратора
22875,16,1063,Час куратора
22876,16,1062,Час куратора
22882,16,1056,Управление изменениями и релизами программных систем
23151,16,1065,Подготовка к сдаче и сдача государственного экзамена
23699,17,1143,Имитационное моделирование
23700,17,1143,Моделирование бизнес-процессов
23701,17,1143,Системы поддержки принятия решений
23702,17,1143,Функциональное программирование и интеллектуальные системы
23703,17,1143,Логистика
23704,17,1143,Учебно-исследовательская работа в семестре 1****
23705,17,1143,Планирование и организация разработки инновационной продукции (ГПО 4)****
23706,17,1143,IT-маркетинг/ IT бизнес и инновации
23716,17,1141,Иностранный язык
23717,17,1141,IT-консалтинг
23718,17,1141,Научный семинар: Бизнес в сфере информационных технологий
23719,17,1141,Информационное право и защита интеллектуальной собственности
23720,17,1141,Философия
23721,17,1141,Культурология
23722,17,1141,Информатика и программирование
23723,17,1141,Теория вероятностей и математическая статистика
23724,17,1141,Финансовый менеджмент
23725,17,1141,Логистика
23726,17,1141,Элективные дисциплины по физической культуре и спорту
23727,17,1140,Методология научных исследований
23728,17,1140,Организация бизнеса на рынке программных продуктов
23729,17,1140,Иностранный язык
23730,17,1140,Архитектура предприятия (продвинутый уровень)
