id,academic_year_id,number,parity,starts_at,completes_at
484,10,15,odd,2019-12-09,2019-12-14
485,10,16,even,2019-12-16,2019-12-21
486,10,17,odd,2019-12-23,2019-12-28
487,10,18,even,2019-12-30,2020-01-04
488,10,19,odd,2020-01-06,2020-01-11
489,10,20,even,2020-01-13,2020-01-18
490,10,21,odd,2020-01-20,2020-01-25
491,10,22,even,2020-01-27,2020-02-01
492,10,23,odd,2020-02-03,2020-02-08
493,10,24,even,2020-02-10,2020-02-15
494,10,25,odd,2020-02-17,2020-02-22
495,10,26,even,2020-02-24,2020-02-29
496,10,27,odd,2020-03-02,2020-03-07
497,10,28,even,2020-03-09,2020-03-14
498,10,29,odd,2020-03-16,2020-03-21
499,10,30,even,2020-03-23,2020-03-28
500,10,31,odd,2020-03-30,2020-04-04
501,10,32,even,2020-04-06,2020-04-11
502,10,33,odd,2020-04-13,2020-04-18
503,10,34,even,2020-04-20,2020-04-25
504,10,35,odd,2020-04-27,2020-05-02
505,10,36,even,2020-05-04,2020-05-09
506,10,37,odd,2020-05-11,2020-05-16
507,10,38,even,2020-05-18,2020-05-23
508,10,39,odd,2020-05-25,2020-05-30
509,10,40,even,2020-06-01,2020-06-06
510,10,41,odd,2020-06-08,2020-06-13
511,10,42,even,2020-06-15,2020-06-20
512,10,43,odd,2020-06-22,2020-06-27
513,10,44,even,2020-06-29,2020-07-04
514,10,45,odd,2020-07-06,2020-07-11
515,10,46,even,2020-07-13,2020-07-18
516,10,47,odd,2020-07-20,2020-07-25
517,10,48,even,2020-07-27,2020-08-01
518,10,49,odd,2020-08-03,2020-08-08
519,10,50,even,2020-08-10,2020-08-15
520,10,51,odd,2020-08-17,2020-08-22
521,10,52,even,2020-08-24,2020-08-29
522,11,1,odd,2020-08-31,2020-09-05
523,11,2,even,2020-09-07,2020-09-12
524,11,3,odd,2020-09-14,2020-09-19
525,11,4,even,2020-09-21,2020-09-26
526,11,5,odd,2020-09-28,2020-10-03
527,11,6,even,2020-10-05,2020-10-10
528,11,7,odd,2020-10-12,2020-10-17
529,11,8,even,2020-10-19,2020-10-24
530,11,9,odd,2020-10-26,2020-10-31
531,11,10,even,2020-11-02,2020-11-07
532,11,11,odd,2020-11-09,2020-11-14
533,11,12,even,2020-11-16,2020-11-21
534,11,13,odd,2020-11-23,2020-11-28
535,11,14,even,2020-11-30,2020-12-05
536,11,15,odd,2020-12-07,2020-12-12
537,11,16,even,2020-12-14,2020-12-19
538,11,17,odd,2020-12-21,2020-12-26
539,11,18,even,2020-12-28,2021-01-02
540,11,19,odd,2021-01-04,2021-01-09
541,11,20,even,2021-01-11,2021-01-16
542,11,21,odd,2021-01-18,2021-01-23
543,11,22,even,2021-01-25,2021-01-30
544,11,23,odd,2021-02-01,2021-02-06
545,11,24,even,2021-02-08,2021-02-13
546,11,25,odd,2021-02-15,2021-02-20
547,11,26,even,2021-02-22,2021-02-27
548,11,27,odd,2021-03-01,2021-03-06
549,11,28,even,2021-03-08,2021-03-13
550,11,29,odd,2021-03-15,2021-03-20
551,11,30,even,2021-03-22,2021-03-27
552,11,31,odd,2021-03-29,2021-04-03
553,11,32,even,2021-04-05,2021-04-10
554,11,33,odd,2021-04-12,2021-04-17
555,11,34,even,2021-04-19,2021-04-24
