id,week_id,training_id,plan_loading,loading
1809964,316,117417,0,0
1809965,317,117417,4,0
1809966,318,117417,0,0
1809967,319,117417,4,0
1809968,320,117417,0,0
1809969,321,117417,4,0
1809970,322,117417,0,0
1809971,323,117417,4,0
1809972,324,117417,0,0
1809973,325,117417,4,0
1809974,326,117417,0,0
1809975,327,117417,4,0
1809976,328,117417,0,0
1809977,329,117417,4,0
1809978,330,117417,0,0
1809979,331,117417,0,0
1809980,332,117417,0,0
1809981,313,117418,2,0
1809982,314,117418,4,0
1809983,315,117418,2,0
1809984,316,117418,4,0
1809985,317,117418,2,0
1809986,318,117418,4,0
1809987,319,117418,2,0
1809988,320,117418,4,0
1809989,321,117418,2,0
1809990,322,117418,4,0
1809991,323,117418,2,0
1809992,324,117418,4,0
1809993,325,117418,2,0
1809994,326,117418,4,0
1809995,327,117418,2,0
1809996,328,117418,4,0
1809997,329,117418,2,0
1809998,330,117418,4,0
1809999,331,117418,0,0
1810000,332,117418,0,0
1810001,313,117419,0,0
1810002,314,117419,2,0
1810003,315,117419,2,0
1810004,316,117419,2,0
1810005,317,117419,2,0
1810006,318,117419,2,0
1810007,319,117419,2,0
1810008,320,117419,2,0
1810009,321,117419,2,0
1810010,322,117419,0,0
1810011,323,117419,2,0
1810012,324,117419,0,0
1810013,325,117419,2,0
1810014,326,117419,0,0
1810015,327,117419,2,0
1810016,328,117419,0,0
1810017,329,117419,2,0
1810018,330,117419,0,0
1810019,331,117419,0,0
1810020,332,117419,0,0
1810021,313,117420,0,0
1810022,314,117420,0,0
1810023,315,117420,0,0
1810024,316,117420,0,0
1810025,317,117420,0,0
1810026,318,117420,0,0
1810027,319,117420,0,0
1810028,320,117420,0,0
1810029,321,117420,0,0
1810030,322,117420,4,0
1810031,323,117420,0,0
1810032,324,117420,4,0
1810033,325,117420,0,0
1810034,326,117420,4,0
1810035,327,117420,0,0
1810036,328,117420,4,0
1810037,329,117420,0,0
1810038,330,117420,0,0
1810039,331,117420,0,0
1810040,332,117420,0,0
1810041,313,117421,0,0
1810042,314,117421,0,0
1810043,315,117421,2,0
1810044,316,117421,2,0
1810045,317,117421,2,0
1810046,318,117421,2,0
1810047,319,117421,2,0
1810048,320,117421,2,0
1810049,321,117421,2,0
1810050,322,117421,2,0
1810051,323,117421,2,0
1810052,324,117421,2,0
1810053,325,117421,2,0
1810054,326,117421,2,0
1810055,327,117421,2,0
1810056,328,117421,2,0
1810057,329,117421,2,0
1810058,330,117421,0,0
1810059,331,117421,0,0
1810060,332,117421,0,0
1810061,313,117423,2,0
1810062,314,117423,0,0
1810063,315,117423,2,0
1810064,316,117423,0,0
1810065,317,117423,2,0
1810066,318,117423,0,0
1810067,319,117423,2,0
1810068,320,117423,0,0
1810069,321,117423,2,0
1810070,322,117423,0,0
1810071,323,117423,2,0
1810072,324,117423,0,0
1810073,325,117423,2,0
1810074,326,117423,0,0
1810075,327,117423,2,0
1810076,328,117423,0,0
1810077,329,117423,2,0
1810078,330,117423,0,0
1810079,331,117423,0,0
1810080,332,117423,0,0
1810081,313,117424,0,0
1810082,314,117424,4,0
1810083,315,117424,0,0
1810084,316,117424,4,0
1810085,317,117424,0,0
1810086,318,117424,4,0
1810087,319,117424,0,0
1810088,320,117424,4,0
1810089,321,117424,0,0
1810090,322,117424,4,0
1810091,323,117424,0,0
1810092,324,117424,4,0
1810093,325,117424,0,0
1810094,326,117424,4,0
1810095,327,117424,0,0
1810096,328,117424,4,0
1810097,329,117424,0,0
1810098,330,117424,4,0
1810099,331,117424,0,0
1810100,332,117424,0,0
1810101,313,117425,4,0
1810102,314,117425,2,0
1810103,315,117425,4,0
1810104,316,117425,2,0
1810105,317,117425,4,0
1810106,318,117425,2,0
1810107,319,117425,4,0
1810108,320,117425,2,0
1810109,321,117425,4,0
1810110,322,117425,2,0
1810111,323,117425,4,0
1810112,324,117425,2,0
1810113,325,117425,4,0
1810114,326,117425,2,0
1810115,327,117425,4,0
1810116,328,117425,2,0
1810117,329,117425,4,0
1810118,330,117425,2,0
1810119,331,117425,0,0
1810120,332,117425,0,0
1810121,313,117426,0,0
1810122,314,117426,0,0
1810123,315,117426,0,0
1810124,316,117426,0,0
1810125,317,117426,0,0
1810126,318,117426,4,0
1810127,319,117426,4,0
1810128,320,117426,4,0
1810129,321,117426,4,0
1810130,322,117426,4,0
1810131,323,117426,4,0
1810132,324,117426,4,0
1810133,325,117426,4,0
1810134,326,117426,4,0
1810135,327,117426,4,0
1810136,328,117426,4,0
1810137,329,117426,4,0
1810138,330,117426,4,0
1810139,331,117426,0,0
1810140,332,117426,0,0
1810141,313,117427,6,0
1810142,314,117427,6,0
1810143,315,117427,6,0
1810144,316,117427,6,0
1810145,317,117427,6,0
1810146,318,117427,6,0
1810147,319,117427,6,0
1810148,320,117427,6,0
1810149,321,117427,6,0
1810150,322,117427,6,0
1810151,323,117427,6,0
1810152,324,117427,6,0
1810153,325,117427,6,0
1810154,326,117427,6,0
1810155,327,117427,6,0
1810156,328,117427,6,0
1810157,329,117427,6,0
1810158,330,117427,6,0
1810159,331,117427,0,0
1810160,332,117427,0,0
1810161,313,117429,0,0
1810162,314,117429,0,0
1810163,315,117429,2,0
1810164,316,117429,2,0
1810165,317,117429,2,0
1810166,318,117429,2,0
1810167,319,117429,2,0
1810168,320,117429,2,0
1810169,321,117429,2,0
1810170,322,117429,0,0
1810171,323,117429,2,0
1810172,324,117429,0,0
